ScheduleYearName,EndMonth,EndDay,ScheduleWk,ScheduleWeekName,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Hol,HtgDD,ClgDD
OfficeHtgSetpt,12,31,OfficeHtgSetptWk,OfficeHtgSetptWk,OfficeHtgSetptWD,OfficeHtgSetptWD,OfficeHtgSetptWD,OfficeHtgSetptWD,OfficeHtgSetptWD,OfficeHtgSetptSat,OfficeHtgSetptSun,OfficeHtgSetptSun,OfficeHtgSetptWD,OfficeHtgSetptWD
OfficeClgSetpt,12,31,OfficeClgSetptWk,OfficeClgSetptWk,OfficeClgSetptWD,OfficeClgSetptWD,OfficeClgSetptWD,OfficeClgSetptWD,OfficeClgSetptWD,OfficeClgSetptSat,OfficeClgSetptSun,OfficeClgSetptSun,OfficeClgSetptWD,OfficeClgSetptWD
OfficeInfiltration,12,31,OfficeInfiltrationWk,OfficeInfiltrationWk,OfficeInfiltrationWD,OfficeInfiltrationWD,OfficeInfiltrationWD,OfficeInfiltrationWD,OfficeInfiltrationWD,OfficeInfiltrationSat,OfficeInfiltrationSun,OfficeInfiltrationSun,OfficeInfiltrationWD,OfficeInfiltrationWD
OfficeEscalator,12,31,OfficeEscalatorWk,OfficeEscalatorWk,OfficeEscalatorWD,OfficeEscalatorWD,OfficeEscalatorWD,OfficeEscalatorWD,OfficeEscalatorWD,OfficeEscalatorSat,OfficeEscalatorSun,OfficeEscalatorSun,OffDay,OnDay
OfficeWtrHtrSetpt,12,31,OfficeWtrHtrSetptWk,OfficeWtrHtrSetptWk,OfficeWtrHtrSetptWD,OfficeWtrHtrSetptWD,OfficeWtrHtrSetptWD,OfficeWtrHtrSetptWD,OfficeWtrHtrSetptWD,OfficeWtrHtrSetptSat,OfficeWtrHtrSetptSun,OfficeWtrHtrSetptSun,OfficeWtrHtrSetptWD,OfficeWtrHtrSetptWD
OfficeGasEquip,12,31,OfficeGasEquipWk,OfficeGasEquipWk,OfficeGasEquipWD,OfficeGasEquipWD,OfficeGasEquipWD,OfficeGasEquipWD,OfficeGasEquipWD,OfficeGasEquipSat,OfficeGasEquipSun,OfficeGasEquipSun,OffDay,OnDay
ParkingOccupancy,12,31,ParkingOccupancyWk,ParkingOccupancyWk,ParkingOccupancyWD,ParkingOccupancyWD,ParkingOccupancyWD,ParkingOccupancyWD,ParkingOccupancyWD,ParkingOccupancySat,ParkingOccupancySun,ParkingOccupancySun,OffDay,OnDay
ParkingLights,12,31,ParkingLightsWk,ParkingLightsWk,ParkingLightsWD,ParkingLightsWD,ParkingLightsWD,ParkingLightsWD,ParkingLightsWD,ParkingLightsSat,ParkingLightsSun,ParkingLightsSun,OffDay,OnDay
ParkingReceptacle,12,31,ParkingReceptacleWk,ParkingReceptacleWk,ParkingReceptacleWD,ParkingReceptacleWD,ParkingReceptacleWD,ParkingReceptacleWD,ParkingReceptacleWD,ParkingReceptacleSat,ParkingReceptacleSun,ParkingReceptacleSun,OffDay,OnDay
ParkingHVACAvail,12,31,ParkingHVACAvailWk,ParkingHVACAvailWk,ParkingHVACAvailWD,ParkingHVACAvailWD,ParkingHVACAvailWD,ParkingHVACAvailWD,ParkingHVACAvailWD,ParkingHVACAvailSat,ParkingHVACAvailSun,ParkingHVACAvailSun,OnDay,OnDay
